ID	Name
RXN_184	GLUD1_GLUD2_1
RXN_185	GLUD1_GLUD2_2
RXN_186	GOT1_GOT2_GOT1L1_2
RXN_187	GOT2_GOT1L1_1
RXN_188	SLC25A13_SLC25A12
RXN_189	FH_3
RXN_190	CPS1
RXN_191	OTC_LEFTY1
RXN_192	SLC25A15_SLC25A2_1
RXN_193	GCDH_SLC25A2_2
RXN_194	ASS1
RXN_195	ASL_CRCP
RXN_196	ARG2_ARG1
RXN_197	OGDH_ODC1_OGDHL
RXN_198	AGAT
RXN_199	arginineAmidinohydrolase
RXN_200	OAT
RXN_201	ALDH4A1_1
RXN_202	Transport_Lglu5semialdehyde
RXN_203	ALDH4A1_2
RXN_204	PYCRL_PYCR2_PYCR1_LEFTY1_2
RXN_205	PYCRL_PYCR2_PYCR1_LEFTY1_1
RXN_206	ASNS
RXN_207	ASRGL1_ASPG
RXN_208	GOT1_GOT2
RXN_209	PHGDH_UBAC2
RXN_210	PSAT1
RXN_211	VPS29_PSPH_PSPHP1
RXN_212	SHMT1
RXN_213	SDS_SDSL_SRR
RXN_214	CCBL1
RXN_215	NIT2
RXN_216	Transport_serine
RXN_217	Transport_glycine
RXN_218	SHMT1_2
RXN_219	TransportFolate
RXN_220	SLC16A3_SLC16A1_SLC16A5_2
RXN_221	DHFRL1_DHFR_5
RXN_222	DHFRL1_DHFR_6
RXN_223	MTHFD1_AL445665_1_AQP7P4_LOC286297_2
RXN_224	MTHFD1_2
RXN_225	MTHFD2_4
RXN_226	DHFRL1_DHFR_2
RXN_227	DHFRL1_DHFR_4
RXN_228	MTHFD1_AL445665_1_AQP7P4_LOC286297
RXN_229	MTHFD1_3
RXN_230	MTHFD1_1
RXN_231	MTHFD2_1
RXN_232	MTHFD2_2
RXN_233	ACAT1_ACAT2
RXN_234	HMGCS1_HMGCS2
RXN_235	HMGCR
RXN_236	MVK
RXN_237	PMVK
RXN_238	IDI1_IDI2
RXN_239	MVD
RXN_240	ARID4B_GGPS1_FDPS_FDPSP7_1
RXN_241	ARID4B_GGPS1_FDPS_FDPSP7_2
RXN_242	FDFT1_1
RXN_243	FDFT1_2
RXN_244	SQLE
RXN_245	LSS
RXN_246	CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_1
RXN_247	CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_2
RXN_248	CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_3
RXN_249	ACAA1_HADHB_LBR_TM7SF2_MYO5B_ACAA2
RXN_250	MSMO1_1
RXN_251	MSMO1_2
RXN_252	MSMO1_3
RXN_253	NSDHL_MAGEA2B
RXN_254	NSDHL
RXN_255	HSD17B7
RXN_256	MSMO1_4
RXN_257	MSMO1_5
RXN_258	MSMO1_6
RXN_259	MSMO1_NSDHL
RXN_260	HSD17B6_HSD17B2_HSD17B7_HSD17B12
RXN_261	ALG13_EBP
RXN_262	SC5DL_1
RXN_263	DHCR7_1
RXN_264	DHCR24_LEFTY1
RXN_265	ACACB_PRKAG2_PRKAB2_ACACA_PRKAA2
RXN_266	FASN_1
RXN_267	MCAT_FASN
RXN_268	AcAcACPSynthesis
RXN_269	ALDH3A2_ALDH2_ALDH1B1_ALDH9A1_ALDH7A1_FASN
RXN_270	FASN_2
RXN_271	PECR_MECR_FASN_1
RXN_272	ELOVL5_AGPAT4_UPB1_PNPLA3_TAZ_LPCAT3_LPGAT1_MBOAT7_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2
RXN_273	FASN_3
RXN_274	OXSM_FASN
RXN_275	HSD17B10_HADHA_EHHADH_HSD17B4_HADH_FASN_1
RXN_276	ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2
RXN_277	FASN_4
RXN_278	GGT5_GGT1_GGTLC2_GGT7_GGT2_FASN_GGTLC3_1
RXN_279	HADHA_EHHADH_ECHS1_FASN_1
RXN_280	ELOVL5_AGPAT4_HADHA_PBPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_ECHS1_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2
RXN_281	AOX1_FASN
RXN_282	FASN_5
RXN_283	HSD17B10_HADHA_EHHADH_HSD17B4_HADH_FASN_2
RXN_284	ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2_1
RXN_285	HADHA_EHHADH_ECHS1_FASN_2
RXN_286	HADHA_EHHADH_ECHS1_FASN_3
RXN_287	CMAS_FASN
RXN_288	ELOVL5_AGPAT4_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_ECHS1_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2
RXN_289	PECR_MECR_FASN_2
RXN_290	ACAA1_HADHB_MYO5B_ACAA2_FASN_1
RXN_291	HSD17B10_HADHA_EHHADH_HAD17B4_HADH_FASN
RXN_292	ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2_2
RXN_293	GGT5_GGT1_GGTLC2_GGT7_GGT2_FASN_GGTLC3_2
RXN_294	ACOT8_FASN
RXN_295	ACAA1_HADHB_MYO5B_ACAA2_FASN_2
RXN_296	OLAH_FASN
RXN_297	PrepDemPalmitate
RXN_298	UniportOrnithine
RXN_299	CotraspArgOrnA
RXN_300	CotraspArgOrnB
RXN_301	CotraspArgCitrA
RXN_302	CotraspArgCitrB
RXN_303	UniportArginine
RXN_304	UniportCitrulline
RXN_305	ATPmaintenance
RXN_306	SLC25A1
RXN_307	SLC25A11
RXN_308	SLC25A16
RXN_309	palmitateActivation
RXN_310	carnitineAcylTransferaseI
RXN_311	translocase
RXN_312	carnitineAcylTransferaseII
RXN_313	betaOxidation
RXN_314	biomass_synthesis
